ледяную Ось	[['ледяной', {'вин,ед'}], ['ось', {'вин,ед', 'им,ед'}]]
ледяные образования	[['ледяной', {'вин,мн', 'им,мн'}], ['образование', {'вин,мн', 'род,ед', 'им,мн'}]]
ледяное сооружение	[['ледяной', {'вин,ед', 'им,ед'}], ['сооружение', {'вин,ед', 'им,ед'}]]
ледяном слое	[['ледяной', {'пр,ед'}], ['слой', {'пр,ед'}]]
ледяными слезами	[['ледяной', {'твор,мн'}], ['слеза', {'твор,мн'}]]
ледяных пластов	[['ледяной', {'пр,мн', 'род,мн', 'вин,мн'}], ['пласт', {'род,мн'}]]
ледяным переправам	[['ледяной', {'дат,мн', 'твор,ед'}], ['переправа', {'дат,мн'}]]
ледяном кольце	[['ледяной', {'пр,ед'}], ['кольцо', {'пр,ед'}]]
ледяных массивах	[['ледяной', {'пр,мн', 'род,мн', 'вин,мн'}], ['массив', {'пр,мн'}]]
ледяную чашу	[['ледяной', {'вин,ед'}], ['чаша', {'вин,ед'}]]
ледяную комнату	[['ледяной', {'вин,ед'}], ['комната', {'вин,ед'}]]
ледяное плато	[['ледяной', {'вин,ед', 'им,ед'}], ['плато', {'род,мн', 'твор,ед', 'вин,мн', 'пр,ед', 'им,мн', 'дат,ед', 'им,ед', 'твор,мн', 'род,ед', 'вин,ед', 'пр,мн', 'дат,мн'}]]
ледяные прослои	[['ледяной', {'вин,мн', 'им,мн'}], ['прослой', {'вин,мн', 'им,мн'}]]
ледяной ключ	[['ледяной', {'твор,ед', 'пр,ед', 'дат,ед', 'им,ед', 'род,ед', 'вин,ед'}], ['ключ', {'вин,ед', 'им,ед'}]]
ледяным панцырем	[['ледяной', {'дат,мн', 'твор,ед'}], ['панцырь', {'твор,ед'}]]
ледяном току	[['ледяной', {'пр,ед'}], ['ток', {'дат,ед', 'парт,ед', 'местн,ед'}]]
ледяной глазури	[['ледяной', {'твор,ед', 'пр,ед', 'дат,ед', 'им,ед', 'род,ед', 'вин,ед'}], ['глазурь', {'вин,мн', 'дат,ед', 'пр,ед', 'род,ед', 'им,мн'}]]
ледяной колпак	[['ледяной', {'твор,ед', 'пр,ед', 'дат,ед', 'им,ед', 'род,ед', 'вин,ед'}], ['колпак', {'вин,ед', 'им,ед'}]]
ледяным душем	[['ледяной', {'дат,мн', 'твор,ед'}], ['душ', {'твор,ед'}]]
ледяных поверхностей	[['ледяной', {'пр,мн', 'род,мн', 'вин,мн'}], ['поверхность', {'род,мн'}]]
ледяной каше	[['ледяной', {'твор,ед', 'пр,ед', 'дат,ед', 'им,ед', 'род,ед', 'вин,ед'}], ['каша', {'дат,ед', 'пр,ед'}]]
ледяной перемычки	[['ледяной', {'твор,ед', 'пр,ед', 'дат,ед', 'им,ед', 'род,ед', 'вин,ед'}], ['перемычка', {'вин,мн', 'род,ед', 'им,мн'}]]
ледяная стена	[['ледяной', {'им,ед'}], ['стена', {'им,ед'}]]
ледяными обрывами	[['ледяной', {'твор,мн'}], ['обрыв', {'твор,мн'}]]
ледяные туманы	[['ледяной', {'вин,мн', 'им,мн'}], ['туман', {'вин,мн', 'им,мн'}]]
ледяная страна	[['ледяной', {'им,ед'}], ['страна', {'им,ед'}]]
ледяные сосульки	[['ледяной', {'вин,мн', 'им,мн'}], ['сосулька', {'вин,мн', 'род,ед', 'им,мн'}]]
ледяной налет	[['ледяной', {'твор,ед', 'пр,ед', 'дат,ед', 'им,ед', 'род,ед', 'вин,ед'}], ['налет', {'вин,ед', 'им,ед'}]]
ледяных иголок	[['ледяной', {'пр,мн', 'род,мн', 'вин,мн'}], ['иголка', {'род,мн'}]]
ледяным салом	[['ледяной', {'дат,мн', 'твор,ед'}], ['сало', {'твор,ед'}]]
ледяном керне	[['ледяной', {'пр,ед'}], ['керн', {'пр,ед'}]]
ледяном океане	[['ледяной', {'пр,ед'}], ['океан', {'пр,ед'}]]
ледяные панцири	[['ледяной', {'вин,мн', 'им,мн'}], ['панцирь', {'вин,мн', 'им,мн'}]]
ледяной дом	[['ледяной', {'твор,ед', 'пр,ед', 'дат,ед', 'им,ед', 'род,ед', 'вин,ед'}], ['дом', {'вин,ед', 'им,ед'}]]
ледяному панцирю	[['ледяной', {'дат,ед'}], ['панцирь', {'дат,ед'}]]
ледяной линзы	[['ледяной', {'твор,ед', 'пр,ед', 'дат,ед', 'им,ед', 'род,ед', 'вин,ед'}], ['линза', {'вин,мн', 'род,ед', 'им,мн'}]]
ледяным скалам	[['ледяной', {'дат,мн', 'твор,ед'}], ['скала', {'дат,мн'}]]
ледяными иголками	[['ледяной', {'твор,мн'}], ['иголка', {'твор,мн'}]]
ледяной могиле	[['ледяной', {'твор,ед', 'пр,ед', 'дат,ед', 'им,ед', 'род,ед', 'вин,ед'}], ['могила', {'дат,ед', 'пр,ед'}]]
ледяных горках	[['ледяной', {'пр,мн', 'род,мн', 'вин,мн'}], ['горки', {'пр,мн'}]]
ледяных гряд	[['ледяной', {'пр,мн', 'род,мн', 'вин,мн'}], ['гряда', {'род,мн'}]]
ледяного перюда	[['ледяной', {'род,ед', 'вин,ед'}], ['перюда', set()]]
ледяные узоры	[['ледяной', {'вин,мн', 'им,мн'}], ['узор', {'вин,мн', 'им,мн'}]]
ледяные перемычки	[['ледяной', {'вин,мн', 'им,мн'}], ['перемычка', {'вин,мн', 'род,ед', 'им,мн'}]]
ледяных жилах	[['ледяной', {'пр,мн', 'род,мн', 'вин,мн'}], ['жила', {'пр,мн'}]]
ледяных квартирах	[['ледяной', {'пр,мн', 'род,мн', 'вин,мн'}], ['квартира', {'пр,мн'}]]
ледяные крылья	[['ледяной', {'вин,мн', 'им,мн'}], ['крыло', {'вин,мн', 'им,мн'}]]
ледяных кирпичей	[['ледяной', {'пр,мн', 'род,мн', 'вин,мн'}], ['кирпич', {'род,мн'}]]
ледяного молока	[['ледяной', {'род,ед', 'вин,ед'}], ['молоко', {'род,ед'}]]
ледяной крест	[['ледяной', {'твор,ед', 'пр,ед', 'дат,ед', 'им,ед', 'род,ед', 'вин,ед'}], ['крест', {'вин,ед', 'им,ед'}]]
ледяных пылинок	[['ледяной', {'пр,мн', 'род,мн', 'вин,мн'}], ['пылинка', {'род,мн'}]]
ледяной канал	[['ледяной', {'твор,ед', 'пр,ед', 'дат,ед', 'им,ед', 'род,ед', 'вин,ед'}], ['канал', {'вин,ед', 'им,ед'}]]
ледяным презрением	[['ледяной', {'дат,мн', 'твор,ед'}], ['презрение', {'твор,ед'}]]
ледяные кочки	[['ледяной', {'вин,мн', 'им,мн'}], ['кочка', {'вин,мн', 'род,ед', 'им,мн'}]]
ледяного блока	[['ледяной', {'род,ед', 'вин,ед'}], ['блок', {'род,ед'}]]
ледяную поверхность	[['ледяной', {'вин,ед'}], ['поверхность', {'вин,ед', 'им,ед'}]]
ледяным материком	[['ледяной', {'дат,мн', 'твор,ед'}], ['материк', {'твор,ед'}]]
ледяную грязь	[['ледяной', {'вин,ед'}], ['грязь', {'вин,ед', 'им,ед'}]]
ледяной север	[['ледяной', {'твор,ед', 'пр,ед', 'дат,ед', 'им,ед', 'род,ед', 'вин,ед'}], ['север', {'вин,ед', 'им,ед'}]]
ледяного барьера	[['ледяной', {'род,ед', 'вин,ед'}], ['барьер', {'род,ед'}]]
ледяное ущелье	[['ледяной', {'вин,ед', 'им,ед'}], ['ущелие', {'пр,ед', 'вин,ед', 'им,ед'}]]
ледяных пещерах	[['ледяной', {'пр,мн', 'род,мн', 'вин,мн'}], ['пещера', {'пр,мн'}]]
ледяных наростов	[['ледяной', {'пр,мн', 'род,мн', 'вин,мн'}], ['нарост', {'род,мн'}]]
ледяное шампанское	[['ледяной', {'вин,ед', 'им,ед'}], ['шампанское', {'вин,ед', 'им,ед'}]]
ледяных водах	[['ледяной', {'пр,мн', 'род,мн', 'вин,мн'}], ['вода', {'пр,мн'}]]
ледяная гладь	[['ледяной', {'им,ед'}], ['гладь', {'вин,ед', 'им,ед'}]]
ледяных сосулек	[['ледяной', {'пр,мн', 'род,мн', 'вин,мн'}], ['сосулька', {'род,мн'}]]
ледяную яму	[['ледяной', {'вин,ед'}], ['яма', {'вин,ед'}]]
ледяная мысль	[['ледяной', {'им,ед'}], ['мысль', {'вин,ед', 'им,ед'}]]
