худого разума	[['худой', {'род,ед', 'вин,ед'}], ['разум', {'род,ед'}]]
худой почве	[['худой', {'дат,ед', 'род,ед', 'пр,ед', 'им,ед', 'твор,ед', 'вин,ед'}], ['почва', {'пр,ед', 'дат,ед'}]]
худого ты	[['худой', {'род,ед', 'вин,ед'}], ['ты', {'им,ед'}]]
худыя дъла	[['худой', {'вин,мн', 'им,мн'}], ['дъла', {'вин,мн', 'им,мн'}]]
худою дорогою	[['худой', {'твор,ед'}], ['дорога', {'твор,ед'}]]
худые горшки	[['худой', {'вин,мн', 'им,мн'}], ['горшок', {'вин,мн', 'им,мн'}]]
худою своею	[['худой', {'твор,ед'}], ['свой', set()]]
худое мнение	[['худой', {'им,ед', 'вин,ед'}], ['мнение', {'им,ед', 'вин,ед'}]]
худого подростка	[['худой', {'род,ед', 'вин,ед'}], ['подросток', {'род,ед', 'вин,ед'}]]
худые их	[['худой', {'вин,мн', 'им,мн'}], ['они', {'вин,мн', 'род,мн'}]]
худого дела	[['худой', {'род,ед', 'вин,ед'}], ['дело', {'род,ед', 'вин,мн', 'им,мн'}]]
худые ножки	[['худой', {'вин,мн', 'им,мн'}], ['ножка', {'род,ед', 'вин,мн', 'им,мн'}]]
худые бабы	[['худой', {'вин,мн', 'им,мн'}], ['баба', {'род,ед', 'им,мн'}]]
худой боец	[['худой', {'дат,ед', 'род,ед', 'пр,ед', 'им,ед', 'твор,ед', 'вин,ед'}], ['боец', {'им,ед'}]]
худую обувь	[['худой', {'вин,ед'}], ['обувь', {'им,ед', 'вин,ед'}]]
худые обстоятельства	[['худой', {'вин,мн', 'им,мн'}], ['обстоятельство', {'род,ед', 'вин,мн', 'им,мн'}]]
худой локоть	[['худой', {'дат,ед', 'род,ед', 'пр,ед', 'им,ед', 'твор,ед', 'вин,ед'}], ['локоть', {'им,ед', 'вин,ед'}]]
худое мнеше	[['худой', {'им,ед', 'вин,ед'}], ['мнеш', {'пр,ед'}]]
худыми ногами	[['худой', {'твор,мн'}], ['нога', {'твор,мн'}]]
худыхъ поступкахъ	[['худой', {'пр,мн', 'вин,мн', 'род,мн'}], ['поступок', {'пр,мн'}]]
худыми красками	[['худой', {'твор,мн'}], ['краска', {'твор,мн'}]]
худой обычай	[['худой', {'дат,ед', 'род,ед', 'пр,ед', 'им,ед', 'твор,ед', 'вин,ед'}], ['обычай', {'им,ед', 'вин,ед'}]]
