noun,bednyj,nischij,colour,code
творение,147,10,#0072dd,workart/workmus/workdram/workcin/text
собственность,146,10,#2d5d46,poss?
хижинка,146,10,black,other
полковник,146,10,#21c919,hum/armpos
башкир,146,10,#2b7220,hum:etn
желудок,146,10,black,other
овца,146,10,#ae2fd2,animal
соплеменник,145,10,#1d0853,hum
маруся,145,10,black,other
ослик,145,10,#ae2fd2,animal
деньги,145,10,#258e9b,money
интеллигенция,145,10,black,other
офелия,143,10,black,other
горюша,143,10,black,other
голубка,143,10,#1d1d42,hum$
потребитель,143,10,#1d0853,hum
прачка,143,10,#c9d7b6,hum/prof
пташка,142,10,#ae2fd2,animal
живописец,142,10,#c9d7b6,hum/prof
мещанство,142,10,#45d835,humq
секретарь,141,10,#1d0853,hum
собрат,140,10,#1d0853,hum
кров,140,10,#1d472d,space
врач,139,10,#1d0853,hum
помещица,139,10,black,other
сочинитель,139,10,#1d0853,hum
местность,138,10,#1d472d,space
людмила,138,10,black,other
обоз,138,10,black,other
поколение,138,10,black,other
гумус,138,10,#52865b,stuff
барон,138,10,#1d0853,hum
слух,137,10,#82b380,speech
предместье,136,10,#1d472d,space
чернозем,135,10,#52865b,stuff
европа,135,10,black,other
майор,134,10,#21c919,hum/armpos
туземец,134,10,#1d0853,hum
субстрат,133,10,#52865b,stuff
инженер,133,10,#c9d7b6,hum/prof
гриша,133,10,black,other
прапорщик,132,10,#21c919,hum/armpos
внук,132,10,#1d0853,hum
луиза,131,10,black,other
приятель,131,10,#1d0853,hum
маргарита,131,10,black,other
кукла,131,10,#1d0853,hum
представитель,131,10,#1d0853,hum
гоголь,130,10,#ae2fd2,animal
школяр,130,10,#1d0853,hum
лекарь,130,10,#1d0853,hum
родильница,130,10,#1d0853,hum
д,129,10,black,other
чичиков,129,10,black,other
приказчик,129,10,#1d0853,hum
кот,128,10,#1d1d42,hum$
папочка,128,10,#a46071,tool
скрипка,128,10,#b93bab,tool:mus
оля,128,10,black,other
предок,127,10,#807c99,hum:kin
муха,127,10,#ae2fd2,animal
григорий,126,10,black,other
держава,126,10,#4827d5,sign$
братец,126,10,#1d0853,hum
личность,125,10,#1d0853,hum
дарья,125,10,black,other
пастор,124,10,#1d0853,hum
кладбище,123,10,#1d472d,space
лермонтов,123,10,black,other
должник,123,10,#107aa2,hum/org
ванька,123,10,#1d0853,hum
джигит,123,10,#1d0853,hum
актриса,122,10,#c9d7b6,hum/prof
кошка,122,10,#ae2fd2,animal
залежи,121,10,black,other
дъвушка,121,10,black,other
рыбка,121,10,#1d0853,hum
родич,121,10,#807c99,hum:kin
константин,121,10,black,other
сросток,121,10,black,other
черт,120,10,#1d0853,hum
орнамент,119,10,#090ccb,pattern
кре,119,10,black,other
моряк,119,10,#1d0853,hum
сережа,119,10,black,other
плоть,119,10,#52865b,stuff
половина,118,10,#807c99,hum:kin
ребятишки,118,10,black,other
колыбель,118,10,#1d472d,space
похороны,117,10,#a6ab9e,action
развитие,117,10,#45d835,humq
директор,117,10,#1d0853,hum
степан,117,10,black,other
известь,117,10,#52865b,stuff
лев,117,10,#1d1d42,hum$
племянница,117,10,#807c99,hum:kin
категория,116,10,#ea3b7c,hier
подружка,116,10,black,other
царица,115,10,#ae2fd2,animal
совесть,115,10,#c5bb86,psych$
постель,114,10,#12b695,tool:@bedding
роза,114,10,#18c010,workart
смерд,114,10,#1d0853,hum
сиротинка,113,10,black,other
ложе,113,10,#1d472d,space
башмачник,113,10,#c9d7b6,hum/prof
котомка,113,10,#a46071,tool
армянин,112,10,#2b7220,hum:etn
лейтенант,112,10,#21c919,hum/armpos
дар,112,10,#de5877,thing/poss
панночка,112,10,black,other
ангел,110,10,#1d0853,hum
труженица,110,10,black,other
мещанка,110,10,black,other
останки,110,10,black,other
хлебороб,109,10,#c9d7b6,hum/prof
юлия,109,10,black,other
столяр,109,10,#c9d7b6,hum/prof
лексикон,108,10,black,other
п,108,10,black,other
покойник,108,10,#1d0853,hum
грек,108,10,#2b7220,hum:etn
паренек,108,10,black,other
поселок,107,10,#1d472d,space
подпоручик,107,10,#21c919,hum/armpos
евгения,107,10,black,other
пища,107,10,#880e41,food
имущество,106,10,black,other
продавец,106,10,#1d0853,hum
семен,105,10,black,other
колибри,104,10,#ae2fd2,animal
слепой,104,10,#1d0853,hum
иосиф,104,10,black,other
гроб,104,10,#a46071,tool
кухарка,103,10,#c9d7b6,hum/prof
иов,103,10,black,other
мурашка,103,10,#ae2fd2,animal
сиротство,103,10,black,other
мятежник,103,10,#1d0853,hum
папаша,103,10,#1d0853,hum
федя,102,10,black,other
никита,102,10,black,other
дон,102,10,black,other
бурсак,102,10,#1d0853,hum
фитопланктон,102,10,black,other
верочка,101,10,black,other
генрих,101,10,black,other
янкель,101,10,black,other
дочка,101,10,#1d0853,hum
это,101,10,black,other
акулина,100,10,black,other
форвард,100,10,#1d0853,hum
витамин,100,10,#52865b,stuff
варвара,100,10,black,other
колодник,99,10,#1d0853,hum
щелочь,99,10,#52865b,stuff
люда,99,10,black,other
зайчик,99,10,#163c70,light
абиссинец,98,10,#2b7220,hum:etn
оленька,98,10,black,other
порода,98,10,#52865b,stuff
река,98,10,#3ee231,quant:max
нос,98,10,black,other
прослойка,98,10,#c2a38c,group
нерв,98,10,black,other
митя,97,10,black,other
то,97,10,black,other
пролетариат,97,10,black,other
хутор,97,10,#1d472d,space
опыт,96,10,#900c6f,ment
женя,96,10,black,other
барыня,96,10,#6bbc63,workmus/dance
клара,95,10,black,other
овчина,95,10,#52865b,stuff
вертер,95,10,black,other
журналист,95,10,#c9d7b6,hum/prof
лошаденка,95,10,black,other
музикус,93,10,black,other
крыса,93,10,#ae2fd2,animal
поляк,93,10,#2b7220,hum:etn
причетник,92,10,#1d0853,hum
министр,92,10,#1d0853,hum
чело,92,10,#1d472d,space
клен,92,10,#b14856,plant
публика,91,10,black,other
система,91,10,#9f0d28,tool:device
травка,91,10,#52865b,stuff
сестрица,90,10,black,other
челов,90,10,black,other
стадо,90,10,black,other
москвич,90,10,black,other
магний,89,10,#52865b,stuff
пассажир,89,10,#1d0853,hum
лорд,89,10,#1d0853,hum
спектр,89,10,#e3e33d,color
населешю,89,10,black,other
юрий,89,10,black,other
семинарист,88,10,#1d0853,hum
пьеро,88,10,black,other
прохожий,88,10,#1d0853,hum
ножка,87,10,#a46071,tool
машенька,87,10,black,other
швейка,87,10,black,other
свояченица,86,10,#807c99,hum:kin
хлестаков,86,10,black,other
землевладелец,86,10,#1d0853,hum
люба,86,10,black,other
турку,86,10,black,other
молодица,86,10,#1d0853,hum
алиса,86,10,black,other
минерализация,85,10,black,other
одеяние,85,10,black,other
андрюша,85,10,black,other
мишель,85,10,black,other
пациент,85,10,#1d0853,hum
уроженец,85,10,#1d0853,hum
боря,85,10,black,other
негритенок,85,10,#1d0853,hum
согражданин,85,10,#1d0853,hum
орнаментация,84,10,black,other
параша,84,10,black,other
приют,84,10,#e96f47,org
костя,84,10,black,other
мученица,84,10,black,other
роженица,83,10,#1d0853,hum
дантес,83,10,black,other
семейка,83,10,black,other
чиновничество,83,10,black,other
орфей,82,10,black,other
валя,82,10,black,other
турок,82,10,#2b7220,hum:etn
настенька,82,10,black,other
горемыка,82,10,#1d0853,hum
михайло,82,10,black,other
шарлотта,81,10,black,other
заключенная,81,10,black,other
грохот,81,10,#a46071,tool
чарли,80,10,black,other
сынок,80,10,#1d0853,hum
пастушка,80,10,black,other
скептик,79,10,#1d0853,hum
ежик,79,10,#ae2fd2,animal
влас,79,10,black,other
институтка,79,10,#1d0853,hum
произведение,79,10,#0072dd,workart/workmus/workdram/workcin/text
мышка,79,10,#ae2fd2,animal
идальго,79,10,#1d0853,hum
сиротинушка,79,10,black,other
франц,78,10,black,other
участь,77,10,black,other
гарри,77,10,black,other
молодушка,77,10,#1d0853,hum
переулок,77,10,#1d472d,space
переводчик,77,10,#c9d7b6,hum/prof
захар,76,10,black,other
грош,76,10,#ae72e6,money:banknote
достоевский,76,10,black,other
значение,76,10,#aeb20a,?
утешение,76,10,black,other
округ,76,10,#1d472d,space
осока,76,10,#b14856,plant
густав,75,10,black,other
травостой,75,10,#b14856,plant
что,75,10,black,other
извозчик,75,10,#c9d7b6,hum/prof
царевна,75,10,#1d0853,hum
фамилия,74,10,#c2a38c,group
селянство,74,10,black,other
имя,74,10,#23a934,word
р,74,10,black,other
псаломщик,74,10,#1d0853,hum
болгарин,74,10,#2b7220,hum:etn
кирджали,73,10,black,other
индиец,73,10,#2b7220,hum:etn
агрофон,73,10,black,other
земляк,73,10,#1d0853,hum
мышь,72,10,#ae2fd2,animal
младенчество,72,10,#322d31,time:age
информация,71,10,#2dacaa,speech$@/ment$@
