noun,holodnyj,ledyanoj,colour,code
ручеек,279,10,black,other
щи,278,10,#3b723b,stuff/food/liq
планета,276,10,#faa841,space/astr
зрачок,274,10,black,other
стакан,272,10,#fe9792,tool:dish
ухо,271,10,#ae0a06,tool
кумыс,271,10,#3b723b,stuff/food/liq
трепет,271,10,#3f543e,psych:emot
клеть,270,10,#5be0b0,tool:device
разврат,270,10,#3b8d7a,behav/humq
ледник,269,10,#f8f0e3,space
наружность,269,10,#0e5223,внешний вид
мастика,268,10,#c64267,stuff
свидетель,268,10,#b8a02c,hum
медь,267,10,#c64267,stuff
циник,267,10,#b8a02c,hum
уверенность,266,10,#ab3785,ment
абстракция,265,10,#ab3785,ment
уважение,265,10,#ac8b87,psych:emot?
я,265,10,#b8a02c,hum
формовка,264,10,black,other
характер,262,10,black,other
неприязнь,261,10,black,other
отзыв,260,10,#70ab68,speech
февраль,259,10,#5366bc,time:month
веранда,259,10,#606b2e,room
пивко,259,10,black,other
граница,257,10,#73cd8b,предел
чело,256,10,#f8f0e3,space
пелена,256,10,#c64267,stuff
вспышка,256,10,#82bdbc,tool:device:@light
май,254,10,#5366bc,time:month
каземат,254,10,#606b2e,room
искусство,253,10,black,other
прах,253,10,#c64267,stuff
фосфатирование,252,10,black,other
загиб,251,10,#aa082b,форма
фон,251,10,#329aa0,unit
обед,251,10,#5dd3cd,time
пожар,250,10,#7f99c6,manif
прут,249,10,#27a431,thing
интерес,248,10,#ab3785,ment
гибка,247,10,black,other
батарея,247,10,#7af1e8,form/кол-во
шихта,246,10,#c64267,stuff
элемент,242,10,#c64267,stuff
рис,241,10,#6e2bfe,plant
боль,241,10,#ee4b5d,physiol
свинина,240,10,#40186d,stuff/food
лоск,240,10,#0e5223,внешний вид
пары,239,10,black,other
похлебка,239,10,#3b723b,stuff/food/liq
бульон,239,10,#9b9cc1,stuff/food/liq/блюдо
мастерство,239,10,black,other
штык,238,10,#7c1b4b,unit$
отстраненность,238,10,black,other
гнев,234,10,black,other
насмешливость,234,10,black,other
картофелина,231,10,#4c2fcc,fruit/food
образ,230,10,#8b221e,asp
картофель,230,10,#6e2bfe,plant
кран,229,10,#5be0b0,tool:device
произведение,229,10,#5a241a,workart/workmus/workdram/workcin/text
сенцы,227,10,black,other
эмаль,227,10,#c64267,stuff
стих,226,10,#ac8b87,psych:emot?
испытание,225,10,#9d05ed,action
льдинка,225,10,black,other
компот,225,10,#3b723b,stuff/food/liq
кладовка,224,10,#606b2e,room
слизь,224,10,#c64267,stuff
навивка,224,10,black,other
вальцовка,221,10,#6d15d0,tool:instr
ящик,221,10,#1d897d,org
подоконник,220,10,black,other
беспристрастие,220,10,black,other
аудитория,218,10,#606b2e,room
дверь,218,10,#f8f0e3,space
влажность,217,10,black,other
критика,216,10,black,other
самоуверенность,215,10,black,other
юрта,215,10,#e15568,constr
черта,215,10,#73cd8b,предел
октябрь,214,10,#5366bc,time:month
снежинка,214,10,black,other
казарма,214,10,#e15568,constr
вопрос,213,10,#ab3785,ment
линия,213,10,#329aa0,unit
существо,211,10,#277342,hum$/animal$/hum:supernat$/living
вальцы,211,10,#ae0a06,tool
резонерство,210,10,black,other
след,210,10,#f123a2,остаток
суровость,210,10,black,other
макароны,209,10,#f5cf70,food/блюдо
отвердение,208,10,black,other
число,208,10,#5dd3cd,time
апрель,208,10,#5366bc,time:month
вестибюль,208,10,#606b2e,room
декабрь,207,10,#5366bc,time:month
выброс,207,10,black,other
темень,206,10,#5509db,light/neg
часы,206,10,#d8125c,tool:device:@measur:metr
бок,204,10,#f8f0e3,space
зелень,204,10,#47d6af,food
сцена,204,10,#7c96e0,speech/inter
резервирование,203,10,black,other
корректность,203,10,black,other
иней,202,10,#c64267,stuff
мужество,201,10,#bebb3a,humq
пафос,201,10,#3f543e,psych:emot
вышина,200,10,#f8f0e3,space
деловитость,200,10,black,other
простокваша,199,10,#3b723b,stuff/food/liq
сутки,197,10,#ed206f,time:period/unit
льдина,195,10,black,other
жилище,195,10,#ca710d,constr:@build
запуск,195,10,black,other
заготовка,194,10,#27a431,thing
официальность,193,10,black,other
сила,193,10,#712856,quant:max
забвение,192,10,#ab3785,ment
давление,191,10,#c20f13,param
батик,191,10,black,other
нарзан,191,10,#3b723b,stuff/food/liq
аллегория,191,10,black,other
час,191,10,#14c3a1,time:period
подушка,191,10,#ae0a06,tool
март,190,10,#5366bc,time:month
бесстрастность,189,10,black,other
ноябрь,189,10,#5366bc,time:month
пирожок,189,10,#3dd3f1,tool:cloth
пристройка,188,10,#e15568,constr
свинец,186,10,#c64267,stuff
спальня,185,10,#606b2e,room
объективизм,185,10,black,other
потемки,185,10,#6a8673,light
воз,185,10,#522c9f,tool:transp
строка,185,10,#ac3977,text
изморось,184,10,#75bb40,weather
торжественность,184,10,black,other
ненастье,183,10,black,other
предбанник,182,10,#606b2e,room
мера,182,10,#329aa0,unit
тху,182,10,black,other
мансарда,182,10,#606b2e,room
хлопья,181,10,#40186d,stuff/food
сумароков,181,10,black,other
недоверие,181,10,#686845,отсутствие
кафель,180,10,black,other
палата,180,10,#1d897d,org
невеста,178,10,#2af190,hum:kin$/hum
муфель,178,10,black,other
поручень,178,10,#ae0a06,tool
поросенок,178,10,#f286a1,hum$
кивок,177,10,#397993,move
блик,177,10,#6a8673,light
железка,177,10,black,other
конечность,176,10,black,other
тельце,176,10,#c64267,stuff
апатия,175,10,#92d10f,psych
метель,174,10,#75bb40,weather
отвага,174,10,#bebb3a,humq
лягушка,173,10,#f3a7b5,animal
чайник,173,10,#b8a02c,hum
рассеянность,173,10,black,other
мамалыга,173,10,#40186d,stuff/food
жар,172,10,#3f543e,psych:emot
хлороформ,172,10,#b02f3d,stuff/liq
калибровка,172,10,black,other
проза,171,10,black,other
ступенька,171,10,black,other
император,170,10,#b8a02c,hum
теплица,170,10,#e15568,constr
комнатка,170,10,black,other
конденсат,168,10,#c64267,stuff
созерцание,168,10,#1f735a,perc
сектор,167,10,black,other
столовая,167,10,#1d897d,org
ложбина,167,10,#f8f0e3,space
карлик,167,10,#faa841,space/astr
звук,167,10,#35f30e,speech?
ремесло,166,10,black,other
подъезд,166,10,#f8f0e3,space
высачивание,165,10,black,other
перила,165,10,#ae0a06,tool
