noun,krasnyj,krasnovatyj,colour,code
отметка,471,10,#f51346,schoolmark
полководец,471,10,#1be049,hum/armpos
коленкор,470,10,#dc7886,stuff
поток,470,10,#9bf24f,group
корона,470,10,#117c4e,tool:cloth$
предел,470,10,#3ae1ff,space
плавка,466,10,#dc7886,stuff
мешочек,465,10,black,other
личико,465,10,black,other
паучок,463,10,black,other
банда,463,10,#9bf24f,group
нечисть,463,10,#512e22,hum:supernat
шум,462,10,#d401b6,sound
корень,461,10,black,other
мебель,457,10,black,other
соединение,453,10,#dc7886,stuff
тюрбан,452,10,#966df4,tool:cloth
сателлит,448,10,#494d05,org$/space
накидка,446,10,#9cbc12,tool:@bedding/linen
рукав,445,10,#8bd31e,tool
пахарь,445,10,#561de1,hum/prof
футболка,442,10,#966df4,tool:cloth
п,440,10,black,other
сильвинит,440,10,black,other
авиация,439,10,black,other
песня,438,10,#d401b6,sound
купальник,438,10,#966df4,tool:cloth
бешмет,438,10,#966df4,tool:cloth
сполохи,438,10,#e360ef,weather/light
все,436,10,black,other
драпировка,434,10,#dc7886,stuff
дождь,433,10,#336b9b,weather
объект,430,10,#0192d4,thing
лодка,430,10,#7e7174,tool:transp
паспорт,429,10,#13fd9b,doc
теплушка,428,10,#a24092,constr
орнамент,427,10,#be746a,pattern
оторочка,426,10,#dc7886,stuff
пятнистость,425,10,black,other
царь,424,10,#447e07,hum
идея,423,10,#e6e331,ment
околышек,422,10,black,other
мир,420,10,#d0078a,inter
бусинка,420,10,black,other
поплавок,418,10,#af7d78,org
зонт,417,10,#8bd31e,tool
трусики,417,10,#966df4,tool:cloth
р,417,10,black,other
боб,415,10,#e5935c,plant
уголья,413,10,black,other
яблочко,409,10,#51db29,workmus/dance
колонна,409,10,#a24092,constr
фашизм,408,10,black,other
красота,408,10,black,other
метка,407,10,#55ef67,impact?
грудка,405,10,black,other
оперение,404,10,#ec61ce,hair$
капелька,402,10,#447e07,hum
с,401,10,black,other
роман,401,10,#d0078a,inter
дъвица,401,10,black,other
детство,399,10,#16069c,time:period
китаец,396,10,#dda730,hum:etn
повозка,396,10,#7e7174,tool:transp
гранула,396,10,black,other
сандал,396,10,#dc7886,stuff
губка,393,10,#8bd31e,tool
питие,392,10,black,other
разновидность,392,10,black,other
узелок,391,10,black,other
зарница,391,10,#e360ef,weather/light
район,390,10,#3ae1ff,space
чалма,389,10,#966df4,tool:cloth
обивка,388,10,#dc7886,stuff
блузка,387,10,#966df4,tool:cloth
правительство,386,10,#cfb8f6,org/group
подарок,386,10,#0192d4,thing
иероглиф,386,10,#75e7c1,sign
они,385,10,black,other
жизнь,384,10,#7e29d5,be:exist
щечка,384,10,black,other
кончик,383,10,black,other
граната,383,10,#0df16c,tool:weapon
денек,382,10,black,other
иго,382,10,#8ff964,воздействие на человека
георгин,377,10,#e5935c,plant
тесемка,375,10,#dc7886,stuff
трибуна,371,10,#a24092,constr
винцо,370,10,black,other
