noun,zolotoj,zolotistyj,colour,code
кирпич,322,10,#4a85e5,sign
воротник,320,10,black,other
дуга,316,10,#8814ea,tool
поясок,316,10,black,other
ночь,315,10,#096786,time
каска,315,10,#c9d549,tool/tool:cloth$
квадрат,314,10,#4a85e5,sign
веретено,312,10,#8814ea,tool
держава,311,10,#536160,sign$
ливень,311,10,#95212d,stuff
копыто,310,10,black,other
иероглиф,308,10,#4a85e5,sign
производство,307,10,#12be13,impact$@:creat
ленточка,303,10,black,other
брелок,303,10,#8814ea,tool
сердцевина,302,10,#95212d,stuff
сенсибилизация,301,10,black,other
мысль,299,10,#ee3441,ment
сказка,297,10,#8c222c,text
десятирублевка,297,10,#7111eb,money:banknote
браслетка,296,10,#794840,access
цифра,296,10,#4a85e5,sign
храм,296,10,#1f05e5,space
степь,295,10,#1f05e5,space
жар,295,10,#ce91d9,psych:emot
урожай,295,10,black,other
око,294,10,black,other
образок,293,10,black,other
часть,291,10,#5c61dc,poss
пармен,290,10,black,other
курган,285,10,#1f05e5,space
зернышко,284,10,black,other
девушка,284,10,#f9090e,hum:kin$/hum
богатство,284,10,black,other
чарка,284,10,#91d4cf,tool:dish
инициал,283,10,black,other
стих,280,10,#f98a2f,psych:emot?
ложечка,280,10,#1f05e5,space
клык,278,10,black,other
дева,278,10,#42be89,hum
весы,276,10,#91078c,tool:device:@measur:metr/tool:device
