noun,malenkij,kroshechnyj,colour,code
толика,445,10,black,other
травка,444,10,#db9b1f,stuff
трещинка,443,10,black,other
поручение,442,10,#b989de,воздействие на человека
тарелка,440,10,#465a52,tool:mus
плот,440,10,#75a92c,tool:transp
стакан,439,10,#79a298,tool:dish
совет,439,10,#d77d8b,org
александр,437,10,black,other
зальце,436,10,black,other
череп,435,10,black,other
лягушка,435,10,#702dab,animal
строение,434,10,#a406c3,constr
брюнетка,434,10,black,other
сторожка,434,10,black,other
больной,433,10,#e7cb93,hum
детеныш,433,10,#702dab,animal
свеча,433,10,#5425d9,форма
боец,432,10,#e7cb93,hum
разведчик,431,10,#75a92c,tool:transp
муха,430,10,#702dab,animal
крылышко,430,10,black,other
кошелек,428,10,#a62bc2,tool
купе,428,10,#682f9d,room
ружье,428,10,#b6913a,tool:weapon
посылочка,426,10,black,other
родничок,425,10,#ca9f72,space/spring
букашка,425,10,#478faf,hum$
монография,425,10,#59f0b4,text
веранда,424,10,#682f9d,room
графиня,424,10,black,other
издательство,424,10,#d77d8b,org
обрывок,424,10,#59f0b4,text
фраза,423,10,#7b558d,speech
мечеть,423,10,#a406c3,constr
царь,423,10,#e7cb93,hum
посетитель,422,10,#e7cb93,hum
взрыв,421,10,#41db34,manif
марина,421,10,black,other
вступление,420,10,#0a596b,move
хлопчик,420,10,black,other
ганс,419,10,black,other
мяч,414,10,#a62bc2,tool
диалог,414,10,#7b558d,speech
корзиночка,414,10,#aceef8,form
воробей,413,10,#702dab,animal
бомба,413,10,#2e0c3e,tool:@shell
божок,413,10,#e7cb93,hum
тварь,413,10,#e7cb93,hum
ты,412,10,black,other
подружка,411,10,black,other
кофейня,410,10,#d77d8b,org
оплошность,410,10,#a6668d,?
надя,410,10,black,other
игрушка,410,10,#e7cb93,hum
отдых,410,10,#2c9338,отсутствие
дополнение,410,10,#912ccd,word
монета,409,10,#402168,money:banknote
старушонка,409,10,black,other
особнячок,408,10,black,other
приятельница,408,10,black,other
команда,408,10,#ef5046,group
змея,408,10,#478faf,hum$
плата,408,10,#492150,poss
философия,408,10,#7b558d,speech
мешок,408,10,#e7cb93,hum
толстяк,407,10,#e7cb93,hum
экскурс,407,10,#7b558d,speech
кратер,407,10,#bcabd8,space
плечо,406,10,#bcabd8,space
хор,406,10,#d77d8b,org
андрюша,405,10,black,other
острие,405,10,black,other
лейтенант,404,10,#e1d653,hum/armpos
помощник,403,10,#e7cb93,hum
журнальчик,403,10,black,other
текст,403,10,#59f0b4,text
виктор,403,10,black,other
листик,403,10,black,other
разбойник,402,10,#e7cb93,hum
столица,402,10,#bcabd8,space
мария,402,10,black,other
иисус,401,10,black,other
мишка,401,10,#1a8c35,toy
негритенок,400,10,#e7cb93,hum
бюст,399,10,#f45f7c,workart:скульт
петля,399,10,#a62bc2,tool
они,399,10,black,other
саночки,398,10,black,other
трактат,397,10,#59f0b4,text
молоток,396,10,#e7cb93,hum
мозг,396,10,#022343,ment
море,396,10,#d68d0d,quant:max
судьба,395,10,black,other
всадник,395,10,#e7cb93,hum
воришка,395,10,black,other
постройка,395,10,#d54d87,constr:@hut
таверна,395,10,#d77d8b,org
хромосома,394,10,black,other
странность,394,10,black,other
свобода,394,10,black,other
рана,394,10,black,other
капиталист,394,10,#e7cb93,hum
платок,394,10,#7ac5e2,linen/access
графинчик,394,10,black,other
бригада,393,10,#ef5046,group
секта,393,10,#ef5046,group
горсть,392,10,black,other
стычка,392,10,#d99aac,inter
утенок,392,10,#702dab,animal
краб,391,10,#5f109c,sign
пора,391,10,#0e1f43,time
пейзаж,391,10,#66616f,workart
юра,389,10,black,other
условие,389,10,#fc7587,причина
лепешка,388,10,#49b81e,food/изделие
бесенок,388,10,#e7cb93,hum
объявление,387,10,#7b558d,speech
неловкость,387,10,black,other
угол,385,10,#bcabd8,space
студент,385,10,#e7cb93,hum
ольга,384,10,black,other
француз,384,10,#5e0ab7,hum:etn
чуланчик,384,10,black,other
владимир,384,10,black,other
магнитофон,384,10,#57faab,tool:device
холл,383,10,#682f9d,room
доход,383,10,#492150,poss
лесок,382,10,black,other
трибуна,381,10,#a406c3,constr
гравюра,381,10,#66616f,workart
сосед,380,10,#e7cb93,hum
банк,379,10,#b71242,space/tool
обитатель,379,10,#e7cb93,hum
болгария,378,10,black,other
беседка,378,10,#a406c3,constr
грузия,378,10,black,other
барин,378,10,#e7cb93,hum
коляска,377,10,#75a92c,tool:transp
христос,377,10,#e7cb93,hum
никита,377,10,black,other
немец,376,10,#5e0ab7,hum:etn
павильон,376,10,#178b72,constr:@build
возвышение,375,10,#bcabd8,space
радиоприемник,375,10,#57faab,tool:device
транзистор,374,10,#57faab,tool:device
фильтр,374,10,#a62bc2,tool
лесенка,374,10,#aceef8,form
